OTUID,ZA.H12.E86,ZA.H14.E88,ZA.H15.E89,ZA.H17.E91,ZA.H20.E94,ZA.H21.E95,ZA.H23.E97,ZA.H26.E100,ZA.H3.E77,ZA.H4.E78,ZA.H5.E79,ZA.H7.E81,ZA.H8.E82,ZA.H9.E83,ZA.M1.E75,ZA.M10.E84,ZA.M11.E85,ZA.M13.E87,ZA.M16.E90,ZA.M18.E92,ZA.M22.E96,ZA.M25.E99,ZA.M6.E80,ZB.H1.E26,ZB.H10.E35,ZB.H11.E36,ZB.H12.E37,ZB.H13.E38,ZB.H14.E39,ZB.H15.E40,ZB.H16.E41,ZB.H17.E42,ZB.H18.E43,ZB.H2.E27,ZB.H20.E45,ZB.H21.E46,ZB.H3.E28,ZB.H4.E29,ZB.H5.E30,ZB.H6.E31,ZB.H7.E32,ZB.H8.E33,ZB.H9.E34,ZB.M1.E1,ZB.M10.E11,ZB.M12.E14,ZB.M13.E15,ZB.M14.E16,ZB.M16.E18,ZB.M17.E19,ZB.M18.E20,ZB.M19.E21,ZB.M2.E2,ZB.M20.E22,ZB.M21.E23,ZB.M22.E24,ZB.M4.E4,ZB.M6.E6,ZB.M7.E7,ZB.M8.E8,ZB.M9.E10
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Bacteroidaceae;g__Bacteroides,200,319,112,97,129,302,353,146,87,182,219,251,62,44,87,45,112,177,320,411,160,113,115,100,291,377,205,223,253,228,259,143,192,176,416,243,0,263,208,51,126,192,274,130,234,67,69,100,206,205,134,91,65,155,39,215,195,72,348,227,67
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__Parabacteroides,53,139,26,92,38,153,128,54,46,99,77,114,37,14,30,17,55,68,101,191,91,139,37,50,261,159,117,129,193,137,87,86,78,33,57,147,0,105,155,95,108,124,164,58,102,32,74,40,43,74,65,91,30,38,15,30,25,28,78,118,23
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__;g__,45,11,16,11,76,99,38,18,15,26,36,115,2,37,38,12,35,46,170,117,43,80,106,30,50,123,87,69,66,54,84,95,109,40,65,68,0,37,49,6,42,91,50,71,49,10,31,20,57,19,62,43,41,36,15,44,3,26,32,29,40
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__,31,27,44,19,35,305,124,13,163,43,251,294,18,86,141,2,25,130,126,122,123,21,95,19,124,137,165,164,40,90,133,107,53,43,114,164,0,27,86,7,172,135,124,105,121,4,20,95,125,24,44,67,19,40,62,24,100,2,95,141,150
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Rikenellaceae;g__,37,59,29,32,56,152,280,81,38,9,20,59,17,56,16,39,36,34,179,197,99,180,23,49,116,105,39,38,84,79,24,43,49,70,26,93,0,82,17,6,44,62,41,9,33,64,8,17,43,42,18,36,0,64,4,32,10,55,28,53,17
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__[Odoribacteraceae];g__Odoribacter,34,35,11,13,35,140,102,39,17,30,21,39,7,14,6,22,28,41,137,139,45,86,16,20,100,155,48,89,64,53,22,34,45,61,79,91,0,46,27,6,13,91,40,11,26,26,11,21,29,34,59,26,7,37,7,28,4,12,30,44,8
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;Other,13,36,8,2,10,87,21,18,31,42,33,64,3,27,24,2,4,36,191,31,41,4,37,15,21,6,24,21,61,14,20,17,16,8,36,49,0,10,7,5,22,27,22,3,12,1,5,13,1,14,14,6,5,6,6,12,23,3,38,23,14
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__,18,15,2,6,47,47,11,24,11,22,22,63,8,22,19,4,14,12,31,53,17,17,25,3,16,25,20,26,7,11,18,20,5,36,11,58,0,6,13,1,35,6,12,38,19,7,9,9,15,12,8,31,10,9,3,6,0,14,15,32,12
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Oscillospira,16,9,11,8,20,112,22,19,21,14,24,116,4,27,18,3,24,27,79,71,43,12,69,4,45,61,40,51,23,20,30,39,23,14,25,39,0,8,22,1,33,41,30,15,13,0,10,7,28,7,8,33,4,6,3,14,3,2,5,30,5
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Coprobacillus,15,2,3,4,14,8,5,1,18,3,9,29,1,46,25,12,15,9,10,9,6,2,13,2,57,10,7,1,15,10,20,34,3,1,28,17,0,103,7,8,3,4,10,9,13,0,1,1,4,12,5,1,0,2,0,19,3,1,11,3,13
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__,11,2,0,1,5,4,10,1,12,2,14,23,1,12,10,3,3,8,6,5,3,1,10,10,7,15,7,12,16,17,10,3,1,3,3,80,0,3,14,8,12,13,5,16,3,0,2,1,0,1,7,3,1,4,16,2,0,4,36,7,37
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Dorea,4,0,2,2,3,16,8,0,12,2,5,9,1,6,4,1,3,5,2,4,4,10,5,45,5,3,2,5,4,12,15,13,0,20,21,7,0,3,1,2,1,2,11,3,1,0,0,0,2,16,5,1,1,11,4,16,2,3,15,2,11
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Coprococcus,0,1,7,1,0,74,8,1,3,5,13,25,3,2,5,1,1,8,24,7,36,5,19,0,8,6,12,22,0,2,6,13,20,2,8,9,0,5,1,1,7,11,11,37,7,1,10,2,6,2,3,6,3,2,3,1,0,0,13,3,0
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Blautia,3,0,7,6,3,6,1,3,21,0,3,13,0,15,5,4,3,16,1,1,3,1,5,25,40,11,4,2,49,21,6,11,1,14,1,15,0,75,5,3,3,0,0,3,3,1,2,0,1,24,42,0,0,19,4,12,1,29,9,1,3
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Lachnospiraceae;g__Roseburia,3,11,14,0,6,10,2,11,7,18,10,88,0,2,10,1,1,17,96,10,5,2,17,13,34,2,3,1,16,7,8,2,29,3,23,9,0,2,0,0,1,4,11,1,4,0,0,1,13,4,6,1,1,8,0,4,18,1,12,0,10
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;f__Ruminococcaceae;g__Ruminococcus,11,5,0,0,8,20,3,4,7,6,8,10,0,8,4,0,5,6,21,23,9,1,29,7,10,10,12,11,0,4,15,27,4,5,8,13,0,6,15,3,3,3,10,18,8,3,3,1,5,3,2,2,0,1,4,2,0,0,7,5,8
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;g__,0,12,1,3,1,12,10,3,0,8,1,6,1,2,2,2,2,2,7,0,4,3,1,4,12,1,0,1,1,9,4,1,1,2,5,10,0,11,0,7,4,0,3,0,0,1,5,2,7,10,2,1,5,10,0,0,1,2,0,3,2
k__Bacteria;p__Bacteroidetes;c__Bacteroidia;o__Bacteroidales;f__Porphyromonadaceae;Other,0,8,3,4,1,13,16,3,2,11,4,2,2,4,1,3,7,3,5,12,6,10,3,6,9,6,0,0,3,3,4,0,2,0,1,17,0,12,0,3,0,0,11,6,0,2,12,1,0,23,2,1,2,19,0,0,3,10,3,11,2
k__Bacteria;p__Firmicutes;c__Clostridia;o__Clostridiales;Other;Other,3,5,2,0,0,14,0,4,2,6,3,6,0,3,4,0,3,8,34,4,1,0,12,1,3,25,6,3,13,4,6,12,0,0,10,2,0,1,0,0,5,5,2,1,2,1,1,0,0,1,0,4,6,1,1,0,3,0,7,3,0
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__[Eubacterium],0,0,5,4,1,3,41,0,19,0,21,36,3,28,0,0,4,0,0,2,0,1,5,32,11,5,4,10,2,12,15,8,0,1,50,0,0,25,0,4,2,0,2,0,4,1,0,16,3,18,9,1,1,7,0,115,0,0,7,4,29
k__Bacteria;p__Firmicutes;c__Erysipelotrichi;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Holdemania,2,0,0,0,7,2,0,0,0,0,0,2,0,0,2,1,6,1,3,1,0,0,6,0,8,4,5,1,0,4,0,2,6,0,2,2,0,9,1,1,1,3,5,2,2,0,1,1,5,0,1,1,1,0,3,0,0,1,0,2,1