SampleID,Species_Sceloporus,Zone,Sample,Year
Sb.F.D.37,Sceloporus bicanthalis,alta,Feces,2020
Sb.M.D.38,Sceloporus bicanthalis,alta,Feces,2020
Sb.F.D.39,Sceloporus bicanthalis,alta,Feces,2020
Sb.M.D.41,Sceloporus bicanthalis,alta,Feces,2020
Sb.M.D.42,Sceloporus bicanthalis,alta,Feces,2020
Sb.M.D.43,Sceloporus bicanthalis,alta,Feces,2020
Sb.F.D.44,Sceloporus bicanthalis,alta,Feces,2020
Sb.F.D.45,Sceloporus bicanthalis,alta,Feces,2020
Sb.M.D.46,Sceloporus bicanthalis,alta,Feces,2020
ZA.H5.E79,Sceloporus grammicus,alta,Feces,2015
ZA.H23.E97,Sceloporus grammicus,alta,Feces,2015
ZA.M22.E96,Sceloporus grammicus,alta,Feces,2015
ZA.H21.E95,Sceloporus grammicus,alta,Feces,2015
ZA.H9.E83,Sceloporus grammicus,alta,Feces,2015
ZA.H3.E77,Sceloporus grammicus,alta,Feces,2015
ZA.M16.E90,Sceloporus grammicus,alta,Feces,2015
ZA.M18.E92,Sceloporus grammicus,alta,Feces,2015
ZA.M11.E85,Sceloporus grammicus,alta,Feces,2015
ZA.H26.E100,Sceloporus grammicus,alta,Feces,2015
ZA.M6.E80,Sceloporus grammicus,alta,Feces,2015
ZA.H17.E91,Sceloporus grammicus,alta,Feces,2015
ZA.M1.E75,Sceloporus grammicus,alta,Feces,2015
ZA.H7.E81,Sceloporus grammicus,alta,Feces,2015
ZA.H12.E86,Sceloporus grammicus,alta,Feces,2015
ZA.H20.E94,Sceloporus grammicus,alta,Feces,2015
ZA.H15.E89,Sceloporus grammicus,alta,Feces,2015
ZA.H4.E78,Sceloporus grammicus,alta,Feces,2015
ZA.H14.E88,Sceloporus grammicus,alta,Feces,2015
ZA.M25.E99,Sceloporus grammicus,alta,Feces,2015
ZA.M10.E84,Sceloporus grammicus,alta,Feces,2015
ZA.M13.E87,Sceloporus grammicus,alta,Feces,2015
ZA.H8.E82,Sceloporus grammicus,alta,Feces,2015